user_id,release_date,playtime_forever,genres
-Azsael-,2014,11889.0,Indie
-Azsael-,2014,11889.0,Strategy
stverbal,2015,1231.0,Indie
stverbal,2015,1231.0,Strategy
00690069006900,1994,22511.0,Action
00690069006900,1994,22511.0,Adventure
00690069006900,1994,22511.0,Casual
00690069006900,1994,22511.0,Free to Play
00690069006900,1994,22511.0,Massively Multiplayer
00690069006900,1994,22511.0,RPG
76561198027947401,2005,3377.0,Action
76561198027947401,2005,3377.0,Adventure
76561198027947401,2005,3377.0,Casual
76561198027947401,2005,3377.0,Free to Play
76561198027947401,2005,3377.0,Massively Multiplayer
76561198027947401,2005,3377.0,RPG
76561198038398765,2016,678.0,Action
76561198038398765,2016,678.0,Adventure
76561198038398765,2016,678.0,Casual
76561198038398765,2016,678.0,Free to Play
76561198038398765,2016,678.0,Massively Multiplayer
76561198038398765,2016,678.0,RPG
76561198038572397,2016,2947.0,Action
76561198038572397,2016,2947.0,Adventure
76561198038572397,2016,2947.0,Casual
76561198038572397,2016,2947.0,Free to Play
76561198038572397,2016,2947.0,Massively Multiplayer
76561198038572397,2016,2947.0,RPG
76561198065593074,2010,966.0,Action
76561198065593074,2010,966.0,Adventure
76561198065593074,2010,966.0,Casual
76561198065593074,2010,966.0,Free to Play
76561198065593074,2010,966.0,Massively Multiplayer
76561198065593074,2010,966.0,RPG
76561198067593136,2016,8036.0,Action
76561198067593136,2016,8036.0,Adventure
76561198067593136,2016,8036.0,Casual
76561198067593136,2016,8036.0,Free to Play
76561198067593136,2016,8036.0,Massively Multiplayer
76561198067593136,2016,8036.0,RPG
76561198073210139,2009,153.0,Action
76561198073210139,2009,153.0,Adventure
76561198073210139,2009,153.0,Casual
76561198073210139,2009,153.0,Free to Play
76561198073210139,2009,153.0,Massively Multiplayer
76561198073210139,2009,153.0,RPG
76561198077032945,2013,229.0,Action
76561198077032945,2013,229.0,Adventure
76561198077032945,2013,229.0,Casual
76561198077032945,2013,229.0,Free to Play
76561198077032945,2013,229.0,Massively Multiplayer
76561198077032945,2013,229.0,RPG
76561198080494889,2015,273.0,Action
76561198080494889,2015,273.0,Adventure
